Date,Day of week,Number of tweets,Number of tweets in the morning(8-12),Number of tweets in the afternoon(12-18),Number of tweets in the night(18-8),Main tweeting time,Number of words,Number of urls contained,Number of tweets with ?,Number of tweets with !,Number of user mentioned,Number of reply
2017-11-18,Saturday,3,0,3,0,Afternoon ,47,3,0,3,3,0
2017-11-19,Sunday,6,0,1,5,Night,127,6,0,6,0,1
2017-11-20,Monday,2,2,0,0,Morning ,41,1,0,1,2,0
2017-11-21,Tuesday,2,0,0,2,Night,38,2,0,2,1,0
2017-11-22,Wednesday,10,5,1,4,Morning ,188,8,1,8,6,0
2017-11-23,Thursday,11,3,2,6,Night,136,8,0,8,10,2
2017-11-24,Friday,6,1,3,2,Afternoon ,124,6,0,6,0,0
2017-11-25,Saturday,7,0,0,5,Night,92,5,0,5,3,0
2017-11-26,Sunday,4,0,2,2,Afternoon Night,89,4,0,4,0,0
2017-11-27,Monday,5,0,3,2,Afternoon ,78,5,0,5,0,0
2017-11-28,Tuesday,18,0,9,9,Afternoon Night,302,14,0,14,14,0
2017-11-29,Wednesday,21,3,5,9,Night,307,15,1,15,4,0
2017-11-30,Thursday,12,0,5,6,Night,198,9,0,9,4,0
2017-12-01,Friday,8,3,1,2,Morning ,114,6,0,6,1,0
2017-12-02,Saturday,8,0,2,6,Night,147,8,0,8,1,0
2017-12-03,Sunday,11,4,6,0,Afternoon ,168,6,1,6,5,0
2017-12-04,Monday,4,1,3,0,Afternoon ,80,3,0,3,1,0
2017-12-05,Tuesday,4,0,1,1,Afternoon Night,33,2,0,2,0,0
2017-12-06,Wednesday,6,0,3,2,Afternoon ,74,3,0,3,2,0
2017-12-07,Thursday,8,0,5,3,Afternoon ,132,5,0,5,4,0
2017-12-08,Friday,10,0,4,6,Night,164,10,0,10,3,0
2017-12-09,Saturday,14,0,5,7,Night,233,11,1,11,6,0
2017-12-10,Sunday,3,0,2,1,Afternoon ,61,3,0,3,0,0
2017-12-11,Monday,1,0,1,0,Afternoon ,23,1,0,1,1,0
2017-12-12,Tuesday,6,0,4,2,Afternoon ,123,6,0,6,0,0
2017-12-13,Wednesday,4,1,2,1,Afternoon ,71,3,0,3,0,0
2017-12-14,Thursday,7,0,2,5,Night,140,5,0,5,3,0
2017-12-15,Friday,13,0,2,7,Night,151,6,0,6,4,0
2017-12-16,Saturday,3,0,1,2,Night,40,3,0,3,0,0
2017-12-17,Sunday,3,0,1,2,Night,60,3,0,3,0,0
2017-12-18,Monday,13,2,0,11,Night,218,11,0,11,1,0
2017-12-19,Tuesday,4,2,1,1,Morning ,76,3,0,3,1,1
2017-12-20,Wednesday,7,0,3,3,Afternoon Night,85,6,0,6,1,1
2017-12-21,Thursday,5,0,4,1,Afternoon ,92,4,1,4,2,0
2017-12-22,Friday,11,0,7,4,Afternoon ,214,8,0,8,0,0
2017-12-23,Saturday,6,0,0,6,Night,92,4,1,4,2,0
2017-12-24,Sunday,6,0,3,3,Afternoon Night,93,6,0,6,3,0
2017-12-25,Monday,3,0,1,2,Night,52,2,0,2,1,0
2017-12-26,Tuesday,3,1,1,1,Morning Afternoon Night,64,3,0,3,1,0
2017-12-27,Wednesday,4,0,0,3,Night,54,3,0,3,0,0
2017-12-28,Thursday,12,0,3,7,Night,156,8,0,8,8,0
2017-12-29,Friday,19,0,7,1,Afternoon ,163,4,1,4,7,0
2017-12-30,Saturday,6,0,0,6,Night,117,6,0,6,0,0
2017-12-31,Sunday,8,0,3,5,Night,156,7,0,7,1,0
2018-01-01,Monday,3,0,3,0,Afternoon ,65,2,0,2,0,1
2018-01-02,Tuesday,16,0,9,7,Afternoon ,314,15,0,15,0,1
2018-01-03,Wednesday,5,0,1,4,Night,89,4,0,4,0,0
2018-01-04,Thursday,9,4,1,4,Morning Night,148,8,0,8,0,0
2018-01-05,Friday,5,1,2,2,Afternoon Night,82,4,0,4,0,0
2018-01-06,Saturday,5,2,3,0,Afternoon ,102,5,0,5,0,0
2018-01-07,Sunday,7,0,3,4,Night,145,7,0,7,0,1
2018-01-08,Monday,5,0,1,4,Night,98,5,0,5,1,0
2018-01-09,Tuesday,8,0,1,7,Night,150,7,0,7,3,0
2018-01-10,Wednesday,8,0,3,5,Night,159,8,0,8,2,0
2018-01-11,Thursday,14,2,4,8,Night,265,10,0,10,2,1
2018-01-12,Friday,7,1,6,0,Afternoon ,141,7,0,7,0,0
2018-01-13,Saturday,12,0,4,5,Night,155,5,0,5,5,0
2018-01-14,Sunday,7,0,7,0,Afternoon ,142,5,0,5,1,0
2018-01-15,Monday,12,0,3,9,Night,243,4,0,4,12,0
2018-01-16,Tuesday,9,0,5,4,Afternoon ,158,8,0,8,1,1
2018-01-17,Wednesday,9,0,1,7,Night,131,7,0,7,1,0
2018-01-18,Thursday,9,2,4,3,Afternoon ,182,6,0,6,0,0
2018-01-19,Friday,8,0,3,4,Night,128,7,0,7,3,0
2018-01-20,Saturday,14,4,1,9,Night,249,5,0,5,12,0
2018-01-21,Sunday,3,0,2,1,Afternoon ,62,2,0,2,2,0
2018-01-22,Monday,4,0,3,1,Afternoon ,66,2,0,2,0,0
2018-01-23,Tuesday,6,2,2,2,Morning Afternoon Night,126,5,1,5,0,1
2018-01-24,Wednesday,4,1,0,3,Night,78,4,0,4,1,0
2018-01-25,Thursday,3,0,1,2,Night,53,3,0,3,2,0
2018-01-26,Friday,7,3,3,1,Morning Afternoon ,115,7,0,7,4,0
2018-01-27,Saturday,5,1,0,4,Night,101,5,0,5,1,0
2018-01-28,Sunday,2,0,2,0,Afternoon ,44,1,0,1,0,0
2018-01-29,Monday,1,0,0,1,Night,10,1,0,1,1,0
2018-01-30,Tuesday,2,0,0,1,Night,6,1,0,1,0,0
2018-02-01,Thursday,4,2,1,1,Morning ,79,4,0,4,0,0
2018-02-02,Friday,5,2,0,3,Night,93,5,0,5,3,0
2018-02-03,Saturday,7,0,4,3,Afternoon ,110,7,0,7,2,0
2018-02-04,Sunday,2,0,1,1,Afternoon Night,31,1,0,1,0,0
2018-02-05,Monday,6,0,5,1,Afternoon ,125,5,0,5,1,0
2018-02-06,Tuesday,7,0,4,3,Afternoon ,125,6,0,6,5,0
2018-02-07,Wednesday,5,0,2,3,Night,85,4,0,4,1,0
2018-02-08,Thursday,6,1,1,4,Night,117,5,0,5,0,0
2018-02-09,Friday,3,0,3,0,Afternoon ,65,3,0,3,0,0
2018-02-10,Saturday,9,0,4,5,Night,169,8,0,8,2,1
2018-02-11,Sunday,4,0,0,4,Night,81,4,0,4,1,0
2018-02-12,Monday,3,0,2,1,Afternoon ,65,3,0,3,1,0
2018-02-13,Tuesday,2,2,0,0,Morning ,41,2,0,2,0,0
2018-02-14,Wednesday,4,0,0,4,Night,78,3,0,3,0,0
2018-02-15,Thursday,7,0,3,4,Night,123,6,0,6,3,2
2018-02-16,Friday,4,0,2,2,Afternoon Night,80,3,0,3,0,0
2018-02-17,Saturday,9,0,0,9,Night,188,8,0,8,1,0
2018-02-18,Sunday,11,0,9,2,Afternoon ,215,10,0,10,2,0
2018-02-19,Monday,5,0,1,4,Night,86,2,1,2,1,1
2018-02-20,Tuesday,13,0,10,3,Afternoon ,228,11,0,11,6,1
2018-02-21,Wednesday,5,0,2,3,Night,101,4,0,4,1,0
2018-02-22,Thursday,10,0,8,2,Afternoon ,200,10,0,10,5,0
2018-02-23,Friday,9,1,6,2,Afternoon ,161,5,0,5,3,0
2018-02-24,Saturday,15,0,2,13,Night,262,10,0,10,13,0
2018-02-25,Sunday,1,0,0,1,Night,20,0,0,0,1,0
2018-02-27,Tuesday,10,1,3,6,Night,167,9,0,9,1,0
